Datetime,Water Level (m)
2024-05-29 12:00:00,-7.001
2024-05-29 13:00:00,-7.001
2024-05-29 14:00:00,-7.001
2024-05-29 15:00:00,-7.001
2024-05-29 16:00:00,-7.001
2024-05-29 17:00:00,-7.001
2024-05-29 18:00:00,-7.001
2024-05-29 19:00:00,-7.001
2024-05-29 20:00:00,-7.001
2024-05-29 21:00:00,-7.001
2024-05-29 22:00:00,-7.001
2024-05-29 23:00:00,0.16191094
2024-05-30 00:00:00,0.17545846
2024-05-30 01:00:00,0.18139686
2024-05-30 02:00:00,0.17263807
2024-05-30 03:00:00,0.18146649
2024-05-30 04:00:00,0.18135014
2024-05-30 05:00:00,0.18792607
2024-05-30 06:00:00,0.19663893
2024-05-30 07:00:00,0.20212552
2024-05-30 08:00:00,0.21072514
2024-05-30 09:00:00,0.21846998
2024-05-30 10:00:00,0.22359999
2024-05-30 11:00:00,0.22739856
2024-05-30 12:00:00,0.22861648
2024-05-30 13:00:00,0.22741468
2024-05-30 14:00:00,0.22601186
2024-05-30 15:00:00,0.2258958
2024-05-30 16:00:00,0.22664173
2024-05-30 17:00:00,0.2290154
2024-05-30 18:00:00,0.23402277
2024-05-30 19:00:00,0.24122271
2024-05-30 20:00:00,0.24921556
2024-05-30 21:00:00,0.25718707
2024-05-30 22:00:00,0.2646647
2024-05-30 23:00:00,0.272383
2024-05-31 00:00:00,0.27880323
2024-05-31 01:00:00,0.2839089
2024-05-31 02:00:00,0.2883319
2024-05-31 03:00:00,0.29208472
2024-05-31 04:00:00,0.2947144
2024-05-31 05:00:00,0.2971968
2024-05-31 06:00:00,0.30156437
2024-05-31 07:00:00,0.3082342
2024-05-31 08:00:00,0.31605315
2024-05-31 09:00:00,0.32433233
2024-05-31 10:00:00,0.33239406
2024-05-31 11:00:00,0.33977833
2024-05-31 12:00:00,0.34645665
2024-05-31 13:00:00,0.353581
2024-05-31 14:00:00,0.35695758
2024-05-31 15:00:00,0.35741755
2024-05-31 16:00:00,0.36018035
2024-05-31 17:00:00,0.36721885
2024-05-31 18:00:00,0.37476584
2024-05-31 19:00:00,0.3828706
2024-05-31 20:00:00,0.39348468
2024-05-31 21:00:00,0.4055752
2024-05-31 22:00:00,0.41761434
2024-05-31 23:00:00,0.42795977
2024-06-01 00:00:00,0.43566152
2024-06-01 01:00:00,0.44157255
2024-06-01 02:00:00,0.44545123
2024-06-01 03:00:00,0.4477728
2024-06-01 04:00:00,0.44928554
2024-06-01 05:00:00,0.45121208
2024-06-01 06:00:00,0.45510143
2024-06-01 07:00:00,0.46078646
2024-06-01 08:00:00,0.46793023
2024-06-01 09:00:00,0.47771406
2024-06-01 10:00:00,0.49142724
2024-06-01 11:00:00,0.5019341
2024-06-01 12:00:00,0.5103568
2024-06-01 13:00:00,0.5201085
2024-06-01 14:00:00,0.52791566
2024-06-01 15:00:00,0.53293145
2024-06-01 16:00:00,0.5343853
2024-06-01 17:00:00,0.535631
2024-06-01 18:00:00,0.53821003
2024-06-01 19:00:00,0.54316986
2024-06-01 20:00:00,0.5526078
2024-06-01 21:00:00,0.56400776
2024-06-01 22:00:00,0.57621866
2024-06-01 23:00:00,0.587095
2024-06-02 00:00:00,0.5953235
2024-06-02 01:00:00,0.60111004
2024-06-02 02:00:00,0.60631204
2024-06-02 03:00:00,0.6102912
2024-06-02 04:00:00,0.61198807
2024-06-02 05:00:00,0.61204076
2024-06-02 06:00:00,0.61253077
2024-06-02 07:00:00,0.6153016
2024-06-02 08:00:00,0.6212092
2024-06-02 09:00:00,0.62894726
2024-06-02 10:00:00,0.6395291
2024-06-02 11:00:00,0.6524097
2024-06-02 12:00:00,0.6651764
2024-06-02 13:00:00,0.67643213
2024-06-02 14:00:00,0.6848385
2024-06-02 15:00:00,0.6926295
2024-06-02 16:00:00,0.69766957
2024-06-02 17:00:00,0.7001111
2024-06-02 18:00:00,0.7017776
2024-06-02 19:00:00,0.70607054
2024-06-02 20:00:00,0.7126882
2024-06-02 21:00:00,0.7211575
2024-06-02 22:00:00,0.7275907
2024-06-02 23:00:00,0.7372035
2024-06-03 00:00:00,0.7473391
2024-06-03 01:00:00,0.7548184
2024-06-03 02:00:00,0.7602392
2024-06-03 03:00:00,0.764445
2024-06-03 04:00:00,0.7662172
2024-06-03 05:00:00,0.7656936
2024-06-03 06:00:00,0.7641996
2024-06-03 07:00:00,0.763355
2024-06-03 08:00:00,0.7650718
2024-06-03 09:00:00,0.77162176
2024-06-03 10:00:00,0.7826424
2024-06-03 11:00:00,0.7963742
2024-06-03 12:00:00,0.8109947
2024-06-03 13:00:00,0.8238271
2024-06-03 14:00:00,0.8349796
2024-06-03 15:00:00,0.84352785
2024-06-03 16:00:00,0.8487815
2024-06-03 17:00:00,0.85198706
2024-06-03 18:00:00,0.85262394
2024-06-03 19:00:00,0.8522904
2024-06-03 20:00:00,0.85339075
2024-06-03 21:00:00,0.8581334
2024-06-03 22:00:00,0.86600626
2024-06-03 23:00:00,0.87594205
2024-06-04 00:00:00,0.8859714
2024-06-04 01:00:00,0.89393157
2024-06-04 02:00:00,0.9001835
2024-06-04 03:00:00,0.9051469
2024-06-04 04:00:00,0.9092917
2024-06-04 05:00:00,0.91157746
2024-06-04 06:00:00,0.9117425
2024-06-04 07:00:00,0.91062707
2024-06-04 08:00:00,0.9097756
2024-06-04 09:00:00,0.9109986
2024-06-04 10:00:00,0.9158633
2024-06-04 11:00:00,0.92504936
2024-06-04 12:00:00,0.9367765
